项目名称,负责人,实施周期,地点,接受远程,语言能力,需求人数,已有人数,备注
OCBC-CBS UAT,李明,2024-11-25到2025-06-24,上海,是,英语读写,40,3,需要两组人员，手动测试以及自动化测试
OCBC-CBS SIT,Joy,2024-11-11到2025-05-30,大连，深圳,否,英语读写/粤语,41,36,
SDMP,Cindy,2024-09-20到2025-02-27,大连，上海,否,无要求,2,2,无
Fuson重构,Sam,2024-06-11到2024-12-31,上海，大连,是,无,4,3,无
CDI,子维,2024-07-17到2025-01-03,广州,是,英语读写,2,2,无
HASE,子维,2024-10-28到2024-02-28,广州,否,英语读写,2,1,功能测试和性能测试，苗宽将在12月底出差去广州就
FMS/性能,苗宽,2024-03-01到2024-11-29,上海,是,无,1,1,无
RPA,桂爽,2024-11-04到2024-12-31,任意,是,无,1,1,"项目经理是Crystal, 已经通知测试暂停，但是如果有resource随时可以开始"
OCBC渗透测试,Lewis,2024-03-01到2024-12-31,上海,否,无,1,1,木马分析/红蓝对抗/Python/安全测试
Crypto,Sam,2024-03-01到2025-12-31,大连,是,无,1,1,无
QCC,Sam,2024-06-01到2025-12-31,大连，上海,是,无,5,5,需要信用卡背景。
集团内部ISA开发及运维,黄剑龙， 桂爽，朱庆宇,长期项目,大连，上海,是,无,0,0,"由于大量资源投入ocbc, 该项目暂停"
Caku,sam,2024-10-01到2024-12-31,上海,否,无要求,6,6,
OCBC-CBS SIT自动化,Joy,2024-11-11到2025-12-31,大连,否,无要求,6,6,
